data,hora,taxa
2023/12/11,16:29:39,12.101142962734523
2023/12/11,16:29:42,12.138485141325164
2023/12/11,16:29:45,12.314525799231188
2023/12/11,16:29:47,12.020959502486905
2023/12/11,16:29:49,11.914942896662614
2023/12/11,16:29:52,12.383912618136895
2023/12/11,16:29:54,12.151899609722408
2023/12/11,16:29:57,11.888678601183445
2023/12/11,16:30:00,12.418276611881053
2023/12/11,16:30:02,11.836318905535324
2023/12/12,21:50:14,12.036713751096888
2023/12/12,21:50:17,12.079538899191911
2023/12/12,21:50:19,12.396768501246171
2023/12/12,21:50:23,12.54134287661778
2023/12/12,21:50:25,11.687595469454468
2023/12/12,21:50:27,11.966921328395346
2023/12/12,21:50:30,12.51032099803714
2023/12/12,21:50:33,11.818814441527312
2023/12/12,21:50:36,12.164384631388113
2023/12/12,21:50:39,12.408064681684843
2023/12/13,10:09:39,11.73433449421318
2023/12/13,10:26:47,12.371888702757813
2023/12/13,10:26:50,11.709628075465977
2023/12/13,10:26:53,11.881845394756336
2023/12/13,10:26:55,12.211710617778168
2023/12/13,10:26:58,12.410285836623222
2023/12/13,10:27:00,11.837694453893867
2023/12/13,10:27:03,12.53102443126121
2023/12/13,10:27:06,11.678566249444392
2023/12/13,10:27:09,12.578618155421038
2023/12/13,10:27:12,12.524013269565904
